id,title,company,difficulty,stages,topics,platform,last_seen_max,seen_count,employment_types
ibm-customer-resource-usage-analysis,Customer Resource Usage Analysis,IBM,easy,OA,database,unknown,2026-09-18,2,FULLTIME
google-count-score-categories,Count Score Categories,Google,easy,OA,array|simulation,codility,2026-09-17,3,INTERN
google-book-reading-evenings,Book Reading Evenings,Google,easy,OA,array|greedy|simulation,codility,2026-09-17,2,INTERN
microsoft-asteroid-collision,Asteroid Collision,Microsoft,medium,OA,array|stack|simulation,unknown,2026-09-17,1,INTERN
microsoft-minimum-adjacent-square-cost-after-insertion,Minimize Adjacent Squared-Difference Cost with One Insertion,Microsoft,medium,OA,array|math|greedy,unknown,2026-09-17,1,INTERN
susquehanna-leftmost-memory-block-allocator,Leftmost Memory Block Allocator,Susquehanna International Group (SIG),medium,OA,array|hash_table|simulation,codesignal,2026-09-17,1,FULLTIME
susquehanna-sort-matrix-borders,Sort Matrix Borders,Susquehanna International Group (SIG),medium,OA,array|matrix|sorting|simulation,codesignal,2026-09-17,1,FULLTIME
amazon-minimum-grid-inconvenience,Minimum Grid Inconvenience,Amazon,hard,OA,matrix|breadth_first_search|binary_search,unknown,2026-09-16,10,FULLTIME|NEW GRAD
stripe-deployment-window-scheduler,Deployment Window Scheduler,Stripe,hard,OA,intervals|sorting|simulation,hackerrank,2026-09-16,6,INTERN|NEW GRAD|FULLTIME
doordash-dasher-pay,Dasher Pay with Store Waits and Peak Hours,DoorDash,medium,OA|PHONE SCREEN|ONSITE INTERVIEW,hash_table|simulation|string,unknown,2026-09-16,5,FULLTIME
salesforce-run-length-string-compression,Run-Length String Compression,Salesforce,easy,OA,string|two_pointers,hackerrank,2026-09-16,3,FULLTIME
upstart-scale-ingredient-quantities,Scale Ingredient Quantities,Upstart,easy,OA,string|parsing|simulation,unknown,2026-09-16,2,FULLTIME
airbnb-city-price-medians,Median Home Price by City,Airbnb,medium,OA,sorting|hash_table|heap,unknown,2026-09-16,1,FULLTIME
citadel-busy-intersection,Busy Intersection,Citadel,medium,OA,queue|simulation,unknown,2026-09-16,1,FULLTIME
citadel-shortest-path-unweighted-graph,Shortest Path in an Unweighted Graph,Citadel,easy,OA,graph|breadth_first_search|queue,unknown,2026-09-16,1,FULLTIME
concentric-ai-kth-greater-element-indexes,Kth Greater Element Index to the Right,Concentric AI,medium,OA,array|simulation,unknown,2026-09-16,1,NEW GRAD
ibm-minimum-additions-to-make-valid-abc-string,Minimum Additions to Make a Valid ABC String,IBM,medium,OA,string|greedy,unknown,2026-09-16,1,INTERN
ibm-social-network-relationship-statistics,Social Network Relationship Statistics,IBM,easy,OA,database,unknown,2026-09-16,1,INTERN
stripe-split-tender-basic,Split Tender Transactions Part 1 - Basic Split Tendering,Stripe,medium,OA,hash_table|simulation|parsing,unknown,2026-09-16,1,NEW GRAD|INTERN
upstart-buffet-day-gains,Buffet Day Gains,Upstart,medium,OA,array|queue|linked_list|simulation,unknown,2026-09-16,1,FULLTIME
upstart-case-insensitive-anagram,Case-Insensitive Anagram Check,Upstart,easy,OA,string|hash_table,unknown,2026-09-16,1,FULLTIME
upstart-filter-duplicates-preserving-order,Filter Duplicates While Preserving Order,Upstart,easy,OA,array|hash_table,unknown,2026-09-16,1,FULLTIME
worldquant-count-unordered-coin-combinations,Count Unordered Coin Combinations,WorldQuant,medium,OA,dynamic_programming|array,unknown,2026-09-16,1,NEW GRAD
stripe-incident-monitor,Incident Monitor,Stripe,hard,OA,array|string|hash_table|sliding_window|queue|simulation|parsing,unknown,2026-09-15,8,FULLTIME|NEW GRAD
apple-factorize-string-extremities,Merge Two Strings by Maximum Boundary Overlap,Apple,medium,OA,string,unknown,2026-09-15,2,FULLTIME
capital-one-rank-football-teams,Rank Football Teams,Capital One,easy,OA,array|sorting,unknown,2026-09-15,1,FULLTIME
concentric-ai-linked-list-intersection-node,Find the Intersection Node of Two Linked Lists,Concentric AI,easy,OA,linked_list|two_pointers,unknown,2026-09-15,1,FULLTIME
