[19:46:51] fetching index: https://www.fastprep.io/api/problems
[19:46:55] index: 3533 problems
[19:46:55] index stored: 0 new, 0 changed, 3533 unchanged
[19:46:55] fetching 3453 details with 6 workers at ~3.0 req/s (eta ~19.2 min)
[19:47:19]   50/3453 (3.00 req/s, 0 errors)
[19:47:36]   100/3453 (3.00 req/s, 0 errors)
[19:48:11]   150/3453 (3.00 req/s, 0 errors)
[19:48:40]   200/3453 (3.00 req/s, 0 errors)
[19:48:59]   250/3453 (3.00 req/s, 0 errors)
[19:49:21]   300/3453 (3.00 req/s, 0 errors)
[19:49:59]   350/3453 (3.00 req/s, 0 errors)
[19:50:40]   400/3453 (3.00 req/s, 0 errors)
[19:50:55]   450/3453 (3.00 req/s, 0 errors)
[19:51:27]   500/3453 (3.00 req/s, 0 errors)
[19:51:43]   550/3453 (3.00 req/s, 0 errors)
[19:52:00]   600/3453 (3.00 req/s, 0 errors)
[19:52:16]   650/3453 (3.00 req/s, 0 errors)
[19:52:34]   700/3453 (3.00 req/s, 0 errors)
[19:52:50]   750/3453 (3.00 req/s, 0 errors)
[19:53:12]   800/3453 (3.00 req/s, 0 errors)
[19:53:30]   850/3453 (3.00 req/s, 0 errors)
[19:53:46]   900/3453 (3.00 req/s, 0 errors)
[19:54:03]   950/3453 (3.00 req/s, 0 errors)
[19:54:20]   1000/3453 (3.00 req/s, 0 errors)
[19:54:39]   1050/3453 (3.00 req/s, 0 errors)
[19:55:06]   1100/3453 (3.00 req/s, 0 errors)
[19:55:22]   1150/3453 (3.00 req/s, 0 errors)
[19:55:38]   1200/3453 (3.00 req/s, 0 errors)
[19:55:55]   1250/3453 (3.00 req/s, 0 errors)
[19:56:17]   1300/3453 (3.00 req/s, 0 errors)
[19:56:36]   1350/3453 (3.00 req/s, 0 errors)
[19:56:52]   1400/3453 (3.00 req/s, 0 errors)
[19:57:09]   1450/3453 (3.00 req/s, 0 errors)
[19:57:25]   1500/3453 (3.00 req/s, 0 errors)
[19:57:42]   1550/3453 (3.00 req/s, 0 errors)
[19:58:15]   1600/3453 (3.00 req/s, 0 errors)
[19:58:32]   1650/3453 (3.00 req/s, 0 errors)
[19:58:49]   1700/3453 (3.00 req/s, 0 errors)
[19:59:06]   1750/3453 (3.00 req/s, 0 errors)
[19:59:23]   1800/3453 (3.00 req/s, 0 errors)
[19:59:40]   1850/3453 (3.00 req/s, 0 errors)
[19:59:56]   1900/3453 (3.00 req/s, 0 errors)
[20:00:13]   1950/3453 (3.00 req/s, 0 errors)
[20:00:31]   2000/3453 (3.00 req/s, 0 errors)
[20:00:47]   2050/3453 (3.00 req/s, 0 errors)
[20:01:03]   2100/3453 (3.00 req/s, 0 errors)
[20:01:39]   2150/3453 (3.00 req/s, 0 errors)
[20:01:55]   2200/3453 (3.00 req/s, 0 errors)
[20:02:12]   2250/3453 (3.00 req/s, 0 errors)
[20:02:34]   2300/3453 (3.00 req/s, 0 errors)
[20:02:52]   2350/3453 (3.00 req/s, 0 errors)
[20:03:08]   2400/3453 (3.00 req/s, 0 errors)
[20:03:24]   2450/3453 (3.00 req/s, 0 errors)
[20:03:41]   2500/3453 (3.00 req/s, 0 errors)
[20:03:58]   2550/3453 (3.00 req/s, 0 errors)
[20:04:15]   2600/3453 (3.00 req/s, 0 errors)
[20:04:32]   2650/3453 (3.00 req/s, 0 errors)
[20:04:48]   2700/3453 (3.00 req/s, 0 errors)
[20:05:09]   2750/3453 (3.00 req/s, 0 errors)
[20:05:26]   2800/3453 (3.00 req/s, 0 errors)
[20:05:43]   2850/3453 (3.00 req/s, 0 errors)
[20:05:59]   2900/3453 (3.00 req/s, 0 errors)
[20:06:24]   2950/3453 (3.00 req/s, 0 errors)
[20:06:39]   3000/3453 (3.00 req/s, 0 errors)
[20:06:56]   3050/3453 (3.00 req/s, 0 errors)
[20:07:12]   3100/3453 (3.00 req/s, 0 errors)
[20:07:29]   3150/3453 (3.00 req/s, 0 errors)
[20:07:46]   3200/3453 (3.00 req/s, 0 errors)
[20:08:02]   3250/3453 (3.00 req/s, 0 errors)
[20:08:19]   3300/3453 (3.00 req/s, 0 errors)
[20:08:36]   3350/3453 (3.00 req/s, 0 errors)
[20:08:53]   3400/3453 (3.00 req/s, 0 errors)
[20:09:10]   3450/3453 (3.00 req/s, 0 errors)
[20:09:14] done: 3453 details fetched, 0 errors -> /home/ziad/temp/fastprep/fastprep.db
